#,ST,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
250,Nevada,Bachelor,"$16,706.12","$63,933.00",$70.00,1/0/00,Personal Auto,Two-Door Car,$424.88
251,Arizona,Doctor,"$8,544.41","$28,224.00",$109.00,1/0/00,Personal Auto,SUV,$523.20
252,Washington,College,"$7,805.31","$21,073.00",$106.00,1/1/00,Personal Auto,SUV,$508.80
253,Oregon,Bachelor,"$6,112.76","$63,243.00",$77.00,1/0/00,Personal Auto,Four-Door Car,$364.24
254,Nevada,High School or Below,"$4,772.94","$20,993.00",$133.00,1/0/00,Personal Auto,SUV,$638.40
255,Oregon,Bachelor,"$10,979.10","$94,827.00",$135.00,1/0/00,Personal Auto,SUV,$354.73
256,California,Master,"$5,004.26","$39,161.00",$63.00,1/1/00,Personal Auto,Two-Door Car,$284.00
257,Washington,Bachelor,"$13,223.04","$37,534.00",$84.00,1/2/00,Personal Auto,Four-Door Car,$403.20
258,Oregon,Bachelor,"$2,623.32","$80,210.00",$65.00,1/0/00,Corporate Auto,Four-Door Car,$20.54
259,California,Bachelor,"$17,840.20",$0.00,$62.00,1/0/00,Personal Auto,Four-Door Car,$385.12
260,California,College,"$5,106.11","$30,110.00",$64.00,1/0/00,Personal Auto,Four-Door Car,$140.17
261,Arizona,College,"$17,930.60","$21,708.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$326.40
262,Arizona,High School or Below,"$5,457.34","$94,731.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$321.60
263,California,Bachelor,"$6,563.64","$32,375.00",$83.00,1/0/00,Personal Auto,Four-Door Car,$398.40
264,Oregon,College,"$4,812.53","$16,531.00",$63.00,1/0/00,Corporate Auto,Four-Door Car,$102.88
265,Arizona,Master,"$29,328.04","$32,006.00",$94.00,1/0/00,Corporate Auto,Four-Door Car,$56.87
266,Arizona,Bachelor,"$5,773.52","$81,676.00",$72.00,1/0/00,Personal Auto,Two-Door Car,$463.16
267,California,College,"$6,847.12","$71,038.00",$86.00,1/0/00,Corporate Auto,Four-Door Car,$205.44
268,Arizona,High School or Below,"$3,595.31",$0.00,$103.00,1/0/00,Corporate Auto,Sports Car,$741.60
269,Nevada,Master,"$22,855.61","$20,832.00",$65.00,1/0/00,Personal Auto,Two-Door Car,$56.37
270,Washington,High School or Below,"$7,859.41",$0.00,$113.00,1/0/00,Personal Auto,SUV,$813.60
271,Oregon,High School or Below,"$4,115.58","$52,405.00",$103.00,1/0/00,Personal Auto,Four-Door Car,$494.40
272,Arizona,High School or Below,"$5,029.64",$0.00,$133.00,1/0/00,Personal Auto,Sports Car,$795.86
273,Washington,Bachelor,"$4,821.42","$26,583.00","$1,005.00",1/4/00,Personal Auto,SUV,$614.40
274,Oregon,Master,"$5,004.31","$25,486.00",$65.00,1/0/00,Special Auto,Two-Door Car,$72.44
275,Arizona,College,"$8,630.05","$24,065.00",$111.00,1/0/00,Corporate Auto,Four-Door Car,$532.80
276,Arizona,High School or Below,"$9,322.09","$70,435.00",$116.00,1/0/00,Personal Auto,Four-Door Car,$67.88
277,California,College,"$16,727.56",$0.00,$76.00,1/2/00,Personal Auto,Two-Door Car,$402.64
278,Oregon,High School or Below,"$3,652.53","$39,679.00",$92.00,1/0/00,Personal Auto,Two-Door Car,$641.39
279,Nevada,College,"$6,158.60",$0.00,$89.00,1/0/00,Personal Auto,Four-Door Car,$342.48
280,California,Bachelor,"$4,376.08",$0.00,$69.00,1/4/00,Personal Auto,Two-Door Car,$331.20
281,Nevada,High School or Below,"$5,569.46","$53,565.00",$71.00,1/1/00,Personal Auto,Four-Door Car,$340.80
282,Washington,Bachelor,"$2,576.51","$37,574.00",$66.00,1/1/00,Personal Auto,Two-Door Car,$412.10
283,Washington,Bachelor,"$8,346.98","$48,259.00",$108.00,1/0/00,Personal Auto,Two-Door Car,$73.70
284,Arizona,High School or Below,"$6,323.92","$78,532.00",$78.00,1/0/00,Personal Auto,Four-Door Car,$374.40
285,Arizona,Bachelor,"$5,973.14","$96,163.00",$73.00,1/0/00,Corporate Auto,Four-Door Car,$350.40
286,California,Bachelor,"$4,706.68",$0.00,$72.00,1/0/00,Personal Auto,Four-Door Car,$345.60
287,California,High School or Below,"$8,093.41",$0.00,$114.00,1/1/00,Personal Auto,Sports Car,$722.02
288,Washington,College,"$5,035.74","$72,672.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$259.36
289,Oregon,Bachelor,"$9,027.87","$99,002.00",$112.00,1/1/00,Personal Auto,Four-Door Car,$537.60
290,California,High School or Below,"$7,288.88","$79,494.00",$91.00,1/0/00,Personal Auto,Four-Door Car,$396.30
291,Oregon,Master,"$18,042.48","$35,704.00",$225.00,1/0/00,Personal Auto,Luxury Car,$358.28
292,Arizona,Bachelor,"$4,992.06",$0.00,$71.00,1/0/00,Corporate Auto,Four-Door Car,$653.39
293,Oregon,High School or Below,"$9,102.27","$26,049.00",$118.00,1/0/00,Personal Auto,Two-Door Car,$121.03
294,Arizona,Doctor,"$2,540.41","$70,125.00",$64.00,1/0/00,Special Auto,Four-Door Car,$92.81
295,California,College,"$12,941.89","$52,369.00",$110.00,1/1/00,Personal Auto,SUV,$528.00
296,Washington,Bachelor,"$2,365.35",$0.00,$66.00,1/2/00,Special Auto,Four-Door Car,$159.64
297,Arizona,College,"$5,720.77","$41,770.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$476.16
298,Oregon,High School or Below,"$7,035.53",$0.00,$101.00,1/0/00,Corporate Auto,Four-Door Car,$727.20
299,California,College,"$2,636.98","$31,911.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$321.60
300,Nevada,Bachelor,"$5,395.83","$70,051.00",$68.00,1/0/00,Corporate Auto,Four-Door Car,$42.08
301,Oregon,High School or Below,"$8,382.63","$19,683.00",$117.00,1/1/00,Personal Auto,Sports Car,$561.60
302,Washington,College,"$31,161.75","$30,916.00",$112.00,1/0/00,Personal Auto,SUV,$200.12
303,Oregon,Bachelor,"$2,887.74",$0.00,$80.00,1/0/00,Personal Auto,Four-Door Car,$676.94
304,Washington,College,"$7,425.85","$84,302.00",$62.00,1/0/00,Personal Auto,Four-Door Car,$76.61
305,California,Bachelor,"$25,585.73",$0.00,$116.00,1/0/00,Corporate Auto,SUV,$830.62
306,Oregon,College,"$10,272.61","$60,145.00",$132.00,1/0/00,Personal Auto,SUV,$580.47
307,Oregon,Bachelor,"$4,376.36","$63,774.00",$111.00,1/0/00,Personal Auto,Four-Door Car,$60.04
308,California,Bachelor,"$5,318.90","$25,134.00",$67.00,1/0/00,Corporate Auto,Four-Door Car,$321.60
309,Oregon,Bachelor,"$4,719.76","$37,057.00",$61.00,1/1/00,Personal Auto,Four-Door Car,$47.53
310,Oregon,High School or Below,"$4,428.03","$58,577.00",$110.00,1/0/00,Personal Auto,SUV,$303.87
311,California,High School or Below,"$5,879.18","$85,857.00",$73.00,1/0/00,Corporate Auto,Four-Door Car,$100.62
312,Oregon,Doctor,"$9,416.91","$70,602.00",$116.00,1/0/00,Personal Auto,SUV,$481.34
313,Oregon,Master,"$8,288.16","$33,816.00",$106.00,1/2/00,Corporate Auto,Four-Door Car,$508.80
314,Oregon,Bachelor,"$32,654.84",$0.00,$153.00,1/0/00,Personal Auto,SUV,"$1,101.60"
315,Oregon,College,"$4,719.45","$89,642.00",$121.00,1/4/00,Corporate Auto,SUV,$86.32
316,California,Bachelor,"$3,903.47","$60,068.00",$98.00,1/0/00,Personal Auto,Two-Door Car,$470.40
317,California,Bachelor,"$5,457.26","$50,044.00",$139.00,1/0/00,Personal Auto,SUV,$667.20
318,California,Master,"$2,725.36","$36,650.00",$69.00,1/1/00,Personal Auto,Four-Door Car,$56.60
319,Arizona,College,"$4,433.97","$50,653.00",$110.00,1/0/00,Corporate Auto,SUV,$262.87
320,Arizona,Doctor,"$5,332.46","$68,931.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$309.58
321,Oregon,Bachelor,"$2,315.10",$0.00,$73.00,1/1/00,Corporate Auto,Four-Door Car,$350.40
322,California,College,"$5,411.95",$0.00,$73.00,1/0/00,Personal Auto,Four-Door Car,$365.36
323,California,Bachelor,"$9,587.33","$39,266.00",$80.00,1/0/00,Personal Auto,Four-Door Car,$384.00
324,California,College,"$22,103.51",$0.00,$102.00,1/0/00,Personal Auto,SUV,$489.60
325,Nevada,High School or Below,"$9,764.95",$0.00,$98.00,1/1/00,Personal Auto,Four-Door Car,$705.60
326,Nevada,Bachelor,"$2,567.15","$40,864.00",$65.00,1/0/00,Corporate Auto,Four-Door Car,$9.52
327,Oregon,College,"$2,650.62","$39,035.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$244.56
328,California,Bachelor,"$11,264.36","$34,923.00",$98.00,1/0/00,Personal Auto,Two-Door Car,$639.11
329,California,High School or Below,"$2,168.52",$0.00,$63.00,1/0/00,Personal Auto,Four-Door Car,$453.60
330,California,High School or Below,"$8,610.67",$0.00,$111.00,1/0/00,Corporate Auto,SUV,$532.80
331,California,College,"$2,834.65","$24,506.00",$71.00,1/0/00,Personal Auto,Two-Door Car,$511.20
332,Oregon,High School or Below,"$8,930.14",$0.00,$82.00,1/0/00,Personal Auto,Four-Door Car,$554.52
333,Arizona,College,"$5,536.39","$52,220.00",$70.00,1/1/00,Personal Auto,Four-Door Car,$336.00
334,Arizona,High School or Below,"$2,840.85",$0.00,$74.00,1/0/00,Personal Auto,Two-Door Car,$402.45
335,California,College,"$8,082.88","$53,554.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$327.02
336,California,Bachelor,"$5,254.73","$34,476.00",$67.00,1/1/00,Corporate Auto,Four-Door Car,$5.40
337,Arizona,Bachelor,"$5,116.24",$0.00,$70.00,1/0/00,Personal Auto,Four-Door Car,$131.40
338,California,College,"$3,034.65","$68,205.00",$76.00,1/0/00,Personal Auto,Two-Door Car,$99.38
339,California,High School or Below,"$8,024.90",$0.00,$119.00,1/1/00,Personal Auto,SUV,$856.80
340,California,High School or Below,"$18,211.14","$53,690.00",$154.00,1/0/00,Personal Auto,SUV,$739.20
341,Oregon,High School or Below,"$5,121.56",$0.00,$72.00,1/0/00,Personal Auto,Four-Door Car,$518.40
342,California,High School or Below,"$2,150.18",$0.00,$61.00,1/0/00,Personal Auto,Four-Door Car,$292.80
343,California,High School or Below,"$5,595.39","$74,454.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$340.80
344,Nevada,Bachelor,"$7,562.82",$0.00,$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
345,Oregon,High School or Below,"$5,385.85","$29,664.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$340.80
346,Washington,Doctor,"$2,678.06","$72,450.00",$66.00,1/0/00,Corporate Auto,Four-Door Car,$84.22
347,Nevada,Bachelor,"$9,422.57","$47,272.00",$79.00,1/3/00,Personal Auto,Four-Door Car,$64.55
348,Oregon,College,"$3,605.86","$21,585.00",$92.00,1/0/00,Corporate Auto,Four-Door Car,$441.60
349,California,College,"$7,762.59","$23,827.00",$106.00,1/2/00,Personal Auto,Four-Door Car,$37.91
350,Arizona,College,"$23,444.90","$69,906.00",$74.00,1/2/00,Corporate Auto,Four-Door Car,$202.86
351,California,High School or Below,"$2,558.18",$0.00,$72.00,1/0/00,Corporate Auto,Four-Door Car,$345.60
352,Washington,Master,"$2,654.38","$73,196.00",$66.00,1/1/00,Personal Auto,Four-Door Car,$85.81
353,Washington,Bachelor,"$2,549.79","$72,217.00","$6,464.00",1/0/00,Personal Auto,Four-Door Car,$91.15
354,California,High School or Below,"$2,969.59","$46,131.00",$74.00,1/0/00,Personal Auto,Two-Door Car,$355.20
355,Oregon,Master,"$4,363.12","$54,514.00",$109.00,1/3/00,Personal Auto,SUV,$286.23
356,California,High School or Below,"$5,884.31",$0.00,$161.00,1/0/00,Personal Auto,SUV,"$1,159.20"
357,Nevada,College,"$5,272.19","$96,668.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$316.80
358,California,Doctor,"$5,509.90","$78,879.00",$69.00,1/1/00,Personal Auto,Four-Door Car,$466.57
359,Nevada,College,"$16,313.68",$0.00,$69.00,1/0/00,Personal Auto,Four-Door Car,$331.20
360,Arizona,Bachelor,"$5,678.05",$0.00,$76.00,1/0/00,Personal Auto,Four-Door Car,$364.80
361,California,Bachelor,"$12,101.21",$0.00,$112.00,1/0/00,Personal Auto,Sports Car,"$1,252.41"
362,Oregon,Bachelor,"$2,453.57","$29,735.00",$69.00,1/0/00,Personal Auto,Four-Door Car,$331.20
363,California,High School or Below,"$5,075.66","$23,082.00",$65.00,1/0/00,Special Auto,Four-Door Car,$312.00
364,Arizona,Bachelor,"$3,214.98","$53,984.00",$80.00,1/0/00,Corporate Auto,Four-Door Car,$421.48
365,California,College,"$12,275.34","$52,135.00",$156.00,1/0/00,Personal Auto,SUV,$430.51
366,California,College,"$2,722.21","$17,576.00",$71.00,1/0/00,Corporate Auto,Four-Door Car,$398.50
367,Oregon,Bachelor,"$2,457.44","$29,486.00",$62.00,1/0/00,Personal Auto,Four-Door Car,$7.65
368,Oregon,Master,"$3,554.85","$58,557.00",$88.00,1/0/00,Corporate Auto,Four-Door Car,$55.51
369,California,Bachelor,"$4,929.55","$25,632.00",$63.00,1/0/00,Personal Auto,Two-Door Car,$351.27
370,California,High School or Below,"$8,036.45",$0.00,$112.00,1/0/00,Personal Auto,Sports Car,$806.40
371,Arizona,Bachelor,"$4,276.92","$18,768.00",$68.00,1/3/00,Corporate Auto,Four-Door Car,$647.45
372,California,Bachelor,"$33,473.35","$33,190.00",$106.00,1/0/00,Personal Auto,SUV,$508.80
373,Oregon,Master,"$5,960.58","$47,945.00",$74.00,1/0/00,Personal Auto,Two-Door Car,$128.44
374,Arizona,College,"$44,795.47","$58,778.00",$126.00,1/0/00,Special Auto,SUV,$302.03
375,California,High School or Below,"$3,832.12","$15,192.00",$100.00,1/0/00,Personal Auto,SUV,$480.00
376,California,Bachelor,"$6,837.93","$51,859.00",$171.00,1/0/00,Personal Auto,SUV,"$1,003.16"
377,Nevada,High School or Below,"$5,285.27","$23,422.00",$72.00,1/0/00,Personal Auto,Two-Door Car,$518.40
378,California,College,"$3,096.51","$21,604.00",$79.00,1/0/00,Corporate Auto,Four-Door Car,$379.20
379,Arizona,College,"$3,589.71","$79,298.00",$90.00,1/0/00,Personal Auto,Four-Door Car,$244.36
380,Arizona,Bachelor,"$2,582.41","$76,731.00",$64.00,1/0/00,Special Auto,Four-Door Car,$201.46
381,Washington,College,"$3,403.92","$38,460.00",$88.00,1/1/00,Personal Auto,Four-Door Car,$91.55
382,Arizona,College,"$13,575.68","$48,534.00",$115.00,1/1/00,Personal Auto,SUV,$552.00
383,Washington,Doctor,"$3,436.13","$30,817.00",$88.00,1/0/00,Corporate Auto,Four-Door Car,$91.83
384,Oregon,College,"$28,685.83","$48,412.00",$104.00,1/0/00,Personal Auto,SUV,$707.43
385,Washington,Bachelor,"$4,502.68","$68,798.00",$114.00,1/0/00,Personal Auto,SUV,$92.92
386,Oregon,Bachelor,"$6,183.11","$23,712.00",$85.00,1/0/00,Personal Auto,Four-Door Car,$376.13
387,California,College,"$3,873.65","$28,142.00",$105.00,1/0/00,Personal Auto,Sports Car,$701.71
388,California,Master,"$18,929.33","$72,196.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$152.18
389,California,Master,"$5,553.30","$68,197.00",$69.00,1/0/00,Personal Auto,Four-Door Car,$176.82
390,California,Bachelor,"$5,011.26","$75,248.00",$63.00,1/0/00,Corporate Auto,Four-Door Car,$104.45
391,California,College,"$10,442.45",$0.00,$98.00,1/0/00,Personal Auto,Four-Door Car,$941.72
392,Nevada,Bachelor,"$2,199.62",$0.00,$65.00,1/1/00,Personal Auto,Two-Door Car,$468.00
393,Washington,Master,"$5,123.17","$89,879.00",$63.00,1/0/00,Personal Auto,Two-Door Car,$94.03
394,Oregon,High School or Below,"$7,484.31","$46,998.00",$96.00,1/0/00,Corporate Auto,Four-Door Car,$460.80
395,Oregon,Bachelor,"$2,613.02","$57,099.00",$67.00,1/0/00,Personal Auto,Two-Door Car,$67.86
396,Arizona,Bachelor,"$9,080.64","$33,897.00",$114.00,1/0/00,Corporate Auto,SUV,$539.84
397,Nevada,High School or Below,"$13,770.98","$59,207.00",$116.00,1/0/00,Personal Auto,Four-Door Car,$556.80
398,Oregon,High School or Below,"$2,876.82","$40,171.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
399,Washington,Doctor,"$5,408.91","$80,192.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$95.19
400,Washington,High School or Below,"$6,770.31","$74,422.00",$85.00,1/1/00,Personal Auto,Four-Door Car,$95.34
401,Oregon,College,"$24,143.88",$0.00,$87.00,1/0/00,Special Auto,Four-Door Car,$626.40
402,Arizona,College,"$3,538.06",$0.00,$67.00,1/5/00,Personal Auto,Four-Door Car,$321.60
403,Nevada,Bachelor,"$29,091.24","$34,226.00",$244.00,1/0/00,Personal Auto,Luxury SUV,$494.40
404,California,High School or Below,"$19,834.20","$65,989.00",$123.00,1/1/00,Personal Auto,SUV,$115.55
405,Oregon,High School or Below,"$4,731.37","$30,686.00",$61.00,1/0/00,Corporate Auto,Four-Door Car,$19.94
406,California,Master,"$35,537.85",$0.00,$113.00,1/0/00,Personal Auto,Sports Car,$799.93
407,Arizona,High School or Below,"$34,611.38","$20,090.00",$109.00,1/0/00,Personal Auto,Sports Car,$523.20
408,California,High School or Below,"$20,216.31",$0.00,$183.00,1/0/00,Personal Auto,Luxury SUV,$878.40
409,Oregon,College,"$13,976.52","$77,094.00",$176.00,1/0/00,Personal Auto,SUV,$444.47
410,California,College,"$5,904.09","$97,413.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$268.82
411,Oregon,Master,"$5,595.84","$79,189.00",$69.00,1/0/00,Corporate Auto,Four-Door Car,$331.20
412,California,High School or Below,"$2,294.30",$0.00,$62.00,1/0/00,Personal Auto,Two-Door Car,$297.60
413,Arizona,College,"$6,273.91","$18,577.00",$86.00,1/0/00,Personal Auto,Four-Door Car,$412.80
414,Oregon,College,"$3,726.73",$0.00,$112.00,1/1/00,Special Auto,Sports Car,$806.40
415,Washington,High School or Below,"$2,656.71","$62,777.00",$67.00,1/0/00,Personal Auto,Two-Door Car,$101.29
416,Oregon,Bachelor,"$5,110.68",$0.00,$74.00,1/0/00,Corporate Auto,Four-Door Car,$532.80
417,Nevada,College,"$7,126.60","$17,483.00",$183.00,1/0/00,Personal Auto,Luxury Car,"$1,317.60"
418,Oregon,Master,"$4,601.63","$84,394.00",$114.00,1/0/00,Personal Auto,SUV,$691.41
419,Oregon,College,"$9,155.24",$0.00,$127.00,1/0/00,Personal Auto,Sports Car,$804.81
420,Oregon,College,"$14,808.06","$41,440.00",$62.00,1/1/00,Personal Auto,Four-Door Car,$297.60
421,Arizona,High School or Below,"$8,901.68",$0.00,$136.00,1/1/00,Personal Auto,Sports Car,"$1,090.86"
422,Oregon,College,"$5,734.60","$98,132.00",$71.00,1/0/00,Personal Auto,Two-Door Car,$50.59
423,Oregon,High School or Below,"$4,177.70",$0.00,$112.00,1/0/00,Personal Auto,Four-Door Car,$537.60
424,California,Bachelor,"$27,776.29","$88,220.00",$230.00,1/0/00,Personal Auto,Luxury Car,$151.53
425,Arizona,Master,"$10,364.35","$58,327.00",$129.00,1/0/00,Personal Auto,SUV,$347.08
426,Oregon,Master,"$7,851.90","$25,950.00",$66.00,1/0/00,Personal Auto,Two-Door Car,$271.70
427,Oregon,High School or Below,"$4,772.94","$20,993.00",$133.00,1/0/00,Corporate Auto,SUV,$638.40
428,Oregon,High School or Below,"$14,226.50","$65,726.00",$177.00,1/0/00,Corporate Auto,SUV,$849.60
429,Washington,Bachelor,"$2,875.43","$84,768.00",$72.00,1/0/00,Personal Auto,Two-Door Car,$110.48
430,Washington,Bachelor,"$5,041.30","$36,234.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$113.53
431,California,College,"$4,362.93","$58,842.00",$110.00,1/0/00,Personal Auto,Four-Door Car,$528.00
432,Oregon,Master,"$9,624.52","$25,629.00",$124.00,1/2/00,Corporate Auto,Sports Car,$595.20
433,Washington,College,"$21,914.41","$77,311.00",$181.00,1/0/00,Personal Auto,SUV,$113.61
434,California,Doctor,"$6,948.42",$0.00,$196.00,1/2/00,Personal Auto,Luxury SUV,"$1,337.06"
435,Washington,High School or Below,"$2,471.53","$95,697.00",$61.00,1/0/00,Personal Auto,Two-Door Car,$114.27
436,Oregon,Bachelor,"$21,903.91","$22,254.00",$79.00,1/0/00,Personal Auto,Four-Door Car,$125.19
437,Nevada,High School or Below,"$9,028.82","$65,974.00",$113.00,1/0/00,Personal Auto,Sports Car,$235.22
438,Oregon,College,"$5,303.76",$0.00,$76.00,1/0/00,Personal Auto,Four-Door Car,$395.34
439,Washington,High School or Below,"$20,708.26","$92,079.00",$65.00,1/1/00,Corporate Auto,Four-Door Car,$114.80
440,Nevada,High School or Below,"$5,123.77",$0.00,$74.00,1/0/00,Personal Auto,Two-Door Car,$772.80
441,Oregon,College,"$9,492.34",$0.00,$132.00,1/0/00,Personal Auto,SUV,$633.60
442,Oregon,High School or Below,"$8,204.86",$0.00,$73.00,1/0/00,Personal Auto,Four-Door Car,$350.40
443,Arizona,College,"$9,877.30","$67,752.00",$131.00,1/4/00,Personal Auto,Sports Car,$168.52
444,California,Bachelor,"$4,815.01","$25,398.00",$64.00,1/0/00,Corporate Auto,Four-Door Car,$307.20
445,California,High School or Below,"$6,277.01",$0.00,$88.00,1/0/00,Personal Auto,Four-Door Car,$633.60
446,California,High School or Below,"$8,260.64","$33,321.00",$105.00,1/0/00,Special Auto,SUV,$504.00
447,Nevada,Bachelor,"$2,549.45",$0.00,$78.00,1/0/00,Corporate Auto,Four-Door Car,$845.65
448,Washington,College,"$11,318.09","$38,923.00",$99.00,1/2/00,Personal Auto,Four-Door Car,$115.73
449,Oregon,Bachelor,"$3,803.92","$20,325.00",$100.00,1/0/00,Personal Auto,Sports Car,$668.29
450,Oregon,Bachelor,"$8,635.40","$13,129.00",$117.00,1/0/00,Personal Auto,SUV,$700.90
451,Oregon,High School or Below,"$5,510.56",$0.00,$73.00,1/0/00,Personal Auto,Four-Door Car,$525.60
452,Nevada,Master,"$3,585.88","$49,080.00",$91.00,1/0/00,Corporate Auto,Four-Door Car,$25.30
453,Nevada,College,"$4,889.25","$42,536.00",$63.00,1/0/00,Personal Auto,Four-Door Car,$375.33
454,Oregon,Bachelor,"$2,756.94","$29,926.00",$74.00,1/0/00,Corporate Auto,Four-Door Car,$418.23
455,Nevada,Doctor,"$3,289.55",$0.00,$86.00,1/0/00,Corporate Auto,Two-Door Car,$398.24
456,California,Bachelor,"$10,937.18","$21,450.00",$138.00,1/0/00,Personal Auto,Sports Car,$938.51
457,California,High School or Below,"$7,375.57","$33,345.00",$65.00,1/0/00,Corporate Auto,Four-Door Car,$338.62
458,California,Bachelor,"$10,110.78","$15,752.00",$90.00,1/0/00,Corporate Auto,Two-Door Car,$339.34
459,Oregon,High School or Below,"$5,119.41","$40,169.00",$65.00,1/1/00,Personal Auto,Four-Door Car,$302.82
460,California,College,"$8,533.83","$26,049.00",$113.00,1/1/00,Personal Auto,SUV,$619.17
461,Nevada,College,"$2,224.77",$0.00,$68.00,1/0/00,Personal Auto,Four-Door Car,$326.40
462,Arizona,Doctor,"$8,042.80","$55,411.00",$100.00,1/0/00,Personal Auto,Sports Car,$259.56
463,Oregon,College,"$2,554.44","$12,459.00",$70.00,1/0/00,Personal Auto,Four-Door Car,$336.00
464,Oregon,Bachelor,"$18,073.94","$64,620.00",$76.00,1/1/00,Personal Auto,Two-Door Car,$364.80
465,California,Bachelor,"$2,430.51","$83,140.00",$61.00,1/0/00,Corporate Auto,Four-Door Car,$179.16
466,Oregon,Bachelor,"$3,167.66",$0.00,$92.00,1/0/00,Corporate Auto,Four-Door Car,$662.40
467,Arizona,Bachelor,"$5,465.60","$54,422.00",$68.00,1/0/00,Corporate Auto,Four-Door Car,$75.50
468,California,College,"$10,357.51","$68,309.00",$131.00,1/0/00,Corporate Auto,SUV,$306.98
469,California,High School or Below,"$2,537.81","$56,621.00",$65.00,1/2/00,Personal Auto,Four-Door Car,$84.03
470,Arizona,College,"$2,821.95","$38,977.00",$70.00,1/0/00,Special Auto,Four-Door Car,$139.49
471,Arizona,Bachelor,"$7,757.13",$0.00,$111.00,1/0/00,Corporate Auto,Two-Door Car,$607.45
472,Arizona,High School or Below,"$4,079.13",$0.00,$114.00,1/0/00,Corporate Auto,Two-Door Car,$631.12
473,Arizona,College,"$5,955.54",$0.00,$83.00,1/0/00,Personal Auto,Four-Door Car,$628.02
474,Oregon,Bachelor,"$14,158.61","$83,235.00",$70.00,1/0/00,Personal Auto,Two-Door Car,$336.00
475,Nevada,College,"$8,487.24",$0.00,$74.00,1/0/00,Personal Auto,Two-Door Car,$426.66
476,Arizona,College,"$6,285.48","$32,390.00",$80.00,1/0/00,Personal Auto,Four-Door Car,$91.42
477,Oregon,High School or Below,"$11,473.48","$66,538.00",$95.00,1/0/00,Personal Auto,Two-Door Car,$317.84
478,Washington,College,"$4,942.63","$23,285.00",$65.00,1/0/00,Personal Auto,Two-Door Car,$118.45
479,Oregon,Bachelor,"$23,594.68","$76,358.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$86.46
480,Washington,Master,"$2,572.51","$21,104.00",$66.00,1/0/00,Personal Auto,Four-Door Car,$118.45
481,Arizona,College,"$5,380.90","$55,350.00",$67.00,1/0/00,Personal Auto,Four-Door Car,$321.60
482,California,College,"$4,770.55","$12,964.00",$65.00,1/0/00,Personal Auto,Two-Door Car,$362.77
483,Arizona,Master,"$6,756.65","$33,288.00",$86.00,1/2/00,Personal Auto,Four-Door Car,$221.86
484,Arizona,College,"$5,936.01",$0.00,$84.00,1/0/00,Personal Auto,Four-Door Car,$980.17
485,Arizona,Bachelor,"$3,570.76","$56,168.00",$88.00,1/0/00,Personal Auto,Four-Door Car,$614.68
486,California,College,"$6,019.96",$0.00,$92.00,1/0/00,Personal Auto,Four-Door Car,$662.40
487,Oregon,High School or Below,"$5,426.86","$23,105.00",$69.00,1/0/00,Personal Auto,Two-Door Car,$331.20
488,Oregon,Master,"$2,730.31","$36,218.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$145.25
489,California,High School or Below,"$4,982.68","$52,275.00",$62.00,1/0/00,Corporate Auto,Four-Door Car,$374.24
490,Oregon,College,"$8,769.27","$49,665.00",$74.00,1/0/00,Personal Auto,Four-Door Car,$355.20
491,Nevada,High School or Below,"$4,220.61","$32,471.00",$110.00,1/0/00,Personal Auto,Two-Door Car,$528.00
492,Arizona,High School or Below,"$11,537.51",$0.00,$86.00,1/1/00,Corporate Auto,Two-Door Car,$619.20
493,California,Master,"$5,887.18","$62,773.00",$73.00,1/0/00,Personal Auto,Four-Door Car,$80.67
494,California,College,"$4,700.58","$76,694.00",$117.00,1/0/00,Personal Auto,SUV,$561.60
495,Oregon,High School or Below,"$10,963.96","$55,687.00",$276.00,1/0/00,Personal Auto,Luxury SUV,"$1,324.80"
496,Arizona,High School or Below,"$2,523.17",$0.00,$70.00,1/0/00,Personal Auto,Four-Door Car,$504.00
497,Nevada,Doctor,"$3,757.80","$36,633.00",$96.00,1/1/00,Personal Auto,Four-Door Car,$460.80
498,Oregon,High School or Below,"$12,941.73","$77,060.00",$106.00,1/0/00,Personal Auto,SUV,$468.57
499,Nevada,Bachelor,"$3,764.47","$92,600.00",$94.00,1/0/00,Corporate Auto,Two-Door Car,$842.44
500,California,High School or Below,"$6,889.56",$0.00,$66.00,1/0/00,Personal Auto,Four-Door Car,$475.20
